"filename", "language", "JavaScript", "JSON", "Markdown", "XML", "JavaScript JSX", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\organizer\EventsListPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 269, 0, 0, 12, 18, 299
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\organizer\OrganizerSettingsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\user\ProfilePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 161, 0, 0, 15, 23, 199
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\services\api.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\services\authService.js", "JavaScript", 113, 0, 0, 0, 0, 0, 0, 13, 18, 144
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\services\bookingService.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\services\eventService.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\services\organizerService.js", "JavaScript", 178, 0, 0, 0, 0, 0, 0, 16, 29, 223
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\services\userService.js", "JavaScript", 65, 0, 0, 0, 0, 0, 0, 5, 8, 78
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\utils\formatDate.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\utils\validation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\tailwind.config.cjs", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\vite.config.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"Total", "-", 425, 4655, 7, 2, 8008, 26, 13, 344, 681, 14161
