"filename", "language", "JavaScript", "Properties", "JavaScript JSX", "CSS", "XML", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\main.jsx", "JavaScript JSX", 0, 0, -9, 0, 0, 0, 0, 0, 0, -1, -10
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\HomePage.jsx", "JavaScript JSX", 0, 0, -5, 0, 0, 0, 0, 0, 0, -2, -7
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\admin\DashboardPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\auth\LoginPage.jsx", "JavaScript JSX", 0, 0, -255, 0, 0, 0, 0, 0, -6, -24, -285
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\auth\RegisterPage.jsx", "JavaScript JSX", 0, 0, -219, 0, 0, 0, 0, 0, -13, -24, -256
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\auth\ResetPasswordPage.jsx", "JavaScript JSX", 0, 0, -130, 0, 0, 0, 0, 0, -3, -13, -146
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\bookings\BookingsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\events\CreateEventPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\events\EventDetailPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\events\EventsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\user\ProfilePage.jsx", "JavaScript JSX", 0, 0, -161, 0, 0, 0, 0, 0, -15, -23, -199
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\services\api.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\services\authService.js", "JavaScript", -113, 0, 0, 0, 0, 0, 0, 0, -13, -18, -144
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\services\bookingService.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\services\eventService.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\services\userService.js", "JavaScript", -65, 0, 0, 0, 0, 0, 0, 0, -5, -8, -78
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\utils\formatDate.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\utils\validation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\tailwind.config.cjs", "JavaScript", -7, 0, 0, 0, 0, 0, 0, 0, -1, -1, -9
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\vite.config.js", "JavaScript", -9, 0, 0, 0, 0, 0, 0, 0, 0, -2, -11
"Total", "-", 1421, 5, -1177, -12, -2, -7, -4655, -13, 184, 87, -4169
